,Election,Year,State,District,Party,Candidate,Votes Received,Vote Percentage
380,house,2004,TX,14th District,REP,Ron Paul,Uncontested race,92.3
381,house,2004,TX,15th District,DEM,Rubén Hinojosa,96089,57.8
382,house,2004,TX,16th District,DEM,Silvestre Reyes,108577,67.5
383,house,2004,TX,17th District,DEM,Chet Edwards,125309,51.2
384,house,2004,TX,18th District,DEM,Sheila Lee,136018,88.9
385,house,2004,TX,19th District,REP,Randy Neugebauer,136459,58.4
386,house,2004,TX,20th District,DEM,Charles Gonzales,112480,65.5
387,house,2004,TX,21st District,REP,Lamar Smith,209774,61.5
388,house,2004,TX,22nd District,REP,DeLay Tom,150386,55.2
389,house,2004,TX,23rd District,REP,Bonilla Henry,170716,69.3
390,house,2004,TX,24th District,REP,Kenny Marchant,154435,64.0
391,house,2004,TX,25th District,DEM,Lloyd Doggett,108309,67.6
392,house,2004,TX,26th District,REP,Michael Burgess,180519,65.8
393,house,2004,TX,27th District,DEM,Solomon Ortiz,112081,63.1
394,house,2004,TX,28th District,DEM,Henry Cuellar,106323,59.0
395,house,2004,TX,29th District,DEM,Gene Green,78256,94.1
396,house,2004,TX,30th District,DEM,Eddie Johnson,144513,93.0
397,house,2004,TX,31st District,REP,John Carter,160247,64.8
398,house,2004,TX,32nd District,REP,Pete Sessions,109859,54.3
399,house,2004,UT,1st District,REP,Rob Bishop,199615,67.9
400,house,2004,UT,2nd District,DEM,Jim Matheson,187250,54.8
401,house,2004,UT,3rd District,REP,Cannon Chris,173010,63.4
402,house,2004,VA,1st District,REP,Davis Jo Ann,225071,79.7
403,house,2004,VA,2nd District,REP,Drake Thelma,132946,55.1
404,house,2004,VA,3rd District,DEM,Robert Scott,159373,69.4
405,house,2004,VA,4th District,REP,J. Forbes,182444,64.5
406,house,2004,VA,5th District,REP,Goode Virgil,172431,63.7
407,house,2004,VA,6th District,REP,Robert Goodlatte,Uncontested race,63.7
408,house,2004,VA,7th District,REP,Eric Cantor,230765,75.6
409,house,2004,VA,8th District,DEM,James Moran,171986,59.9
410,house,2004,VA,9th District,DEM,Rick Boucher,150039,59.3
411,house,2004,VA,10th District,REP,Frank Wolf,205982,63.8
412,house,2004,VA,11th District,REP,Davis Thomas,186299,60.3
413,house,2004,VT,1st District,Other,Sanders Bernie,205774,67.5
414,house,2004,WA,1st District,DEM,Jay Inslee,204121,62.3
415,house,2004,WA,2nd District,DEM,Rick Larsen,202383,63.9
416,house,2004,WA,3rd District,DEM,Baird Brian,193626,61.9
